filename	text
accept-01.wav	做得好，這個分類很漂亮。
accept-02.wav	你丟對了，地球幫你按讚。
accept-03.wav	完美命中，這就是正確桶。
accept-04.wav	這次很準，謝謝你的用心。
accept-05.wav	分類成功，今天的環境更乾淨了。
accept-06.wav	好眼力，這個可以放心丟。
accept-07.wav	很棒，垃圾也找到正確的家。
accept-08.wav	你這一丟，回收流程順多了。
accept-09.wav	正確分類，漂亮的一步。
accept-10.wav	這個判斷很可以，繼續保持。
accept-11.wav	謝謝你照顧地球的一小步。
accept-12.wav	丟得精準，分類也到位。
accept-13.wav	做得漂亮，這桶收下了。
accept-14.wav	好選擇，這就是該去的地方。
accept-15.wav	你丟對了，今天加一分。
accept-16.wav	清楚又俐落，分類完成。
accept-17.wav	這次很專業，我喜歡。
accept-18.wav	正確投入，環境感謝你。
accept-19.wav	小小動作，大大加分。
accept-20.wav	完成得很好，下一件也照這樣。
